Week,Weekend,Race,Distance,Elevation,Profile Score,Category,Link to Race
1,1/31/26,Cadel Evans Great Ocean Road Race - Men,70.5,686,51,"Climbing, flat finish",https://tpvirtualhub.com/58788
2,2/7/26,Trofeo Palma,78.3,477,10,"Flat, flat finish",https://tpvirtualhub.com/59089
3,2/14/26,Clasica de Almeria,81.6,342,8,"Flat, flat finish",https://tpvirtualhub.com/60314
4,2/21/26,Kuurne - Brussel - Kuurne,74.1,666,29,"Hilly, flat finish",https://tpvirtualhub.com/60315
5,2/28/26,Omloop Nieuwsblad,,,21,"Hilly, flat finish",
6,3/7/26,Strade Bianche,,,87,"Climbing, uphill finish",
7,3/14/26,Grand Prix de Denain - Porte du Hainaut,,,7,"Flat, flat finish",
8,3/21/26,Milano-Sanremo,,,49,"Climbing, flat finish",
9,3/28/26,In Flanders Fields. From Middelkerke to Wevelgem ME,,,26,"Hilly, flat finish",
10,4/4/26,Ronde van Vlaanderen,,,45,"Climbing, flat finish",
11,4/11/26,Paris-Roubaix,,,0,"Flat, flat finish",
12,4/18/26,Amstel Gold Race,,,41,"Hilly, flat finish",
