#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
1,christophe contant,Pedalers,107,54,53,,,,,,,,,,,Male
2,Alexandre Peigne,Race3R,97,51,46,,,,,,,,,,,Male
3,Kari Heikkilä,Orbit,72,26,46,,,,,,,,,,,Bot
4,Solomon Hampton,,72,39,33,,,,,,,,,,,Bot
5,Romain Duval,,71,21,50,,,,,,,,,,,Bot
6,Hervé Dupont,,69,35,34,,,,,,,,,,,Bot
7,Dustin Andrews,Nuvio,68,23,45,,,,,,,,,,,Bot
8,Patrick Huber,,68,34,34,,,,,,,,,,,Bot
9,Eemil Saarinen,Saitama,58,35,23,,,,,,,,,,,Bot
10,Serge Leroux,Fiber Shot,55,31,24,,,,,,,,,,,Bot
11,Dewayne Bass,Aspire,54,,54,,,,,,,,,,,Bot
12,J D O,DIRT,54,54,,,,,,,,,,,,Male
13,Lasse Ikonen,Sherpa,54,,54,,,,,,,,,,,Bot
14,Matthew James,M4shup Collective,54,54,,,,,,,,,,,,Male
15,Andreas Ziegler,,53,53,,,,,,,,,,,,Bot
16,Anthony dubre,Pedalers,53,,53,,,,,,,,,,,Male
17,Arseni Koplowitz,Hinal,53,53,,,,,,,,,,,,Bot
18,Jan Vana,Race3R,53,53,,,,,,,,,,,,Male
19,Lindsey Pacheco,,53,,53,,,,,,,,,,,Bot
20,Adam Janssen,,52,,52,,,,,,,,,,,Bot
21,Benicio Torres,,52,,52,,,,,,,,,,,Bot
22,Robert Kennedy,HCOM,52,52,,,,,,,,,,,,Bot
23,Alberto Gutierrez,,51,31,20,,,,,,,,,,,Bot
24,David Abad,,51,,51,,,,,,,,,,,Bot
25,Dobroslav Malkovitch,Titans,51,,51,,,,,,,,,,,Bot
26,Florian Bertrand,Heat,51,,51,,,,,,,,,,,Bot
27,Guy McCall,Roklit,51,51,,,,,,,,,,,,Bot
28,Hiro Kinoshita,,50,50,,,,,,,,,,,,Bot
29,Jun’ichi Okada,,50,50,,,,,,,,,,,,Bot
30,Stefanos Panagiotopoulos,Eckleson,50,35,15,,,,,,,,,,,Bot
31,Chunghee Cha,,49,,49,,,,,,,,,,,Bot
32,Dennis Edwards,,49,49,,,,,,,,,,,,Bot
33,Matija Meden,Riki Team Black,49,,,49,,,,,,,,,,Male
34,Bashir Khan,,48,29,19,,,,,,,,,,,Bot
35,Philipp Hübner,,48,,48,,,,,,,,,,,Bot
36,Seung Gal,eVOX,48,,48,,,,,,,,,,,Bot
37,Daishi Abe,,47,,47,,,,,,,,,,,Bot
38,Goran Ješić,Orbit,47,47,,,,,,,,,,,,Bot
39,Lorenzo Sullivan,Zonkify,47,47,,,,,,,,,,,,Bot
40,Mika Maes,,47,,47,,,,,,,,,,,Bot
41,Pietro Benedetti,Dashix,46,46,,,,,,,,,,,,Bot
42,Ton Dekker,,46,,46,,,,,,,,,,,Bot
43,Yiannakis Demosthenous,Windsail,46,46,,,,,,,,,,,,Bot
44,Graham Erskine,Aguda,45,45,,,,,,,,,,,,Bot
45,Kizza Nalwanga,,45,45,,,,,,,,,,,,Bot
46,Mussie Araya,,45,,45,,,,,,,,,,,Bot
47,Petter Kristiansen,,45,45,,,,,,,,,,,,Bot
48,Bonhwa Mu,Sherpa,44,,44,,,,,,,,,,,Bot
49,Curt McCullough,Heat,44,44,,,,,,,,,,,,Bot
50,Forrest Beck,,44,,44,,,,,,,,,,,Bot
51,Gael Cabral,,44,,44,,,,,,,,,,,Bot
52,Karsten Kristiansen,,44,44,,,,,,,,,,,,Bot
53,Rüdiger Becker,,44,44,,,,,,,,,,,,Bot
54,Arthur Seymour,,43,,43,,,,,,,,,,,Bot
55,Boubacar Dembélé,,43,43,,,,,,,,,,,,Bot
56,Leandro Fabbri,Kumori,43,43,,,,,,,,,,,,Bot
57,Anton Schwarz,Aspire,42,42,,,,,,,,,,,,Bot
58,Dan Beaudoin,,42,,42,,,,,,,,,,,Bot
59,Gerhard Jung,,42,42,,,,,,,,,,,,Bot
60,Grant Bradley,,42,,42,,,,,,,,,,,Bot
61,Sammy Griffin,,42,42,,,,,,,,,,,,Bot
62,Elwood Hancock,Hinal,41,,41,,,,,,,,,,,Bot
63,Lee Adams,,41,41,,,,,,,,,,,,Bot
64,Andrey Petrov,,40,,40,,,,,,,,,,,Bot
65,Ianto Bennett,,40,,40,,,,,,,,,,,Bot
66,Jean-Luc Hill,Capital,40,40,,,,,,,,,,,,Bot
67,Ronald De Boer,,40,40,,,,,,,,,,,,Bot
68,Greg Trujillo,,39,,39,,,,,,,,,,,Bot
69,Quentin Lambert,,39,,39,,,,,,,,,,,Bot
70,Thad Daugherty,,39,39,,,,,,,,,,,,Bot
71,Bauro Tamuera,,38,,38,,,,,,,,,,,Bot
72,Corrado Fusco,,38,38,,,,,,,,,,,,Bot
73,Jooa Lehtonen,,38,38,,,,,,,,,,,,Bot
74,Maui Vaihotu,,38,,38,,,,,,,,,,,Bot
75,Oliwier Jasiński,,38,38,,,,,,,,,,,,Bot
76,Tyree Nicholson,,38,26,12,,,,,,,,,,,Bot
77,Ali Hosseini,,37,,37,,,,,,,,,,,Bot
78,Brody Brown,Fujikai,37,37,,,,,,,,,,,,Bot
79,Eeli Huttunen,True Form,37,,37,,,,,,,,,,,Bot
80,Ramon Schulz,,37,37,,,,,,,,,,,,Bot
81,Yukiharu Matsumoto,,37,37,,,,,,,,,,,,Bot
82,Hugh Carlson,,36,36,,,,,,,,,,,,Bot
83,Xander Van,Aguda,36,,36,,,,,,,,,,,Bot
84,Duncan Burke,,35,16,19,,,,,,,,,,,Bot
85,Georges Jackson,Aspire,35,,35,,,,,,,,,,,Bot
86,Elias Goossens,,34,34,,,,,,,,,,,,Bot
87,Concepcion Soler,,33,33,,,,,,,,,,,,Bot
88,Hugo Mathieu,,33,,33,,,,,,,,,,,Bot
89,Salim Al-Riyami,,33,33,,,,,,,,,,,,Bot
90,Craig Bilodeau,,32,,32,,,,,,,,,,,Bot
91,Frederic Simpson,Nuvio,32,21,11,,,,,,,,,,,Bot
92,Eelis Pitkänen,,31,,31,,,,,,,,,,,Bot
93,Gaoyao Khoong,,31,6,25,,,,,,,,,,,Bot
94,Magnus Arvidsson,,31,,31,,,,,,,,,,,Bot
95,Sung Holt,,31,31,,,,,,,,,,,,Bot
96,Daniel Veres,Nitro,30,30,,,,,,,,,,,,Bot
97,Gabrielius Kazlauskas,HCOM,30,,30,,,,,,,,,,,Bot
98,Jose Martin,,30,30,,,,,,,,,,,,Bot
99,Momchil Mustafa,,30,30,,,,,,,,,,,,Bot
100,Toni Böhm,Pioma,30,,30,,,,,,,,,,,Bot
101,Cliff Rivas,,29,29,,,,,,,,,,,,Bot
102,Francisco Garcia,,29,16,13,,,,,,,,,,,Bot
103,Kari Heiskanen,,29,29,,,,,,,,,,,,Bot
104,Mauri Lehtonen,Patriot,29,,29,,,,,,,,,,,Bot
105,Ronald Verhoeven,,29,,25,4,,,,,,,,,,Bot
106,Jose Santos,,28,,28,,,,,,,,,,,Bot
107,Octavio Craig,Aguda,28,28,,,,,,,,,,,,Bot
108,Roy Harrison,,28,,28,,,,,,,,,,,Bot
109,Walter Melendez,,28,18,10,,,,,,,,,,,Bot
110,Wim Dijkstra,,28,28,,,,,,,,,,,,Bot
111,Aamir Abdul,,27,,27,,,,,,,,,,,Bot
112,Angel Martin,,27,27,,,,,,,,,,,,Bot
113,Knud Gade,,27,27,,,,,,,,,,,,Bot
114,Matthew Ekwona,,27,27,,,,,,,,,,,,Bot
115,Rostyslav Tkachenko,,27,,27,,,,,,,,,,,Bot
116,Felix Eberle,,26,,26,,,,,,,,,,,Bot
117,Gerry Dupuis,,26,,26,,,,,,,,,,,Bot
118,James Dionne,,26,19,7,,,,,,,,,,,Bot
119,Juan Cervantes,Monova,26,26,,,,,,,,,,,,Bot
120,Adan Sawyer,,25,25,,,,,,,,,,,,Bot
121,Gilbert Fontaine,Pioma,25,25,,,,,,,,,,,,Bot
122,Honghua Tong,Pioma,25,25,,,,,,,,,,,,Bot
123,Adam Mizzi,,24,24,,,,,,,,,,,,Bot
124,Jonathan Berger,Optech,24,24,,,,,,,,,,,,Bot
125,Damien Fournier,Fujikai,23,23,,,,,,,,,,,,Bot
126,Lev Spivak,,23,,23,,,,,,,,,,,Bot
127,Goran Lulić,,22,11,11,,,,,,,,,,,Bot
128,Philipp Hartmann,,22,22,,,,,,,,,,,,Bot
129,Romain Devos,,22,22,,,,,,,,,,,,Bot
130,Victor Soriano,,22,,22,,,,,,,,,,,Bot
131,Kurt Förster,,21,,21,,,,,,,,,,,Bot
132,Théo Roy,,21,21,,,,,,,,,,,,Bot
133,Edward Plante,Hinal,20,20,,,,,,,,,,,,Bot
134,Malik Singh,,20,20,,,,,,,,,,,,Bot
135,Roger Simon,,20,,20,,,,,,,,,,,Bot
136,Thomas Gérard,,19,19,,,,,,,,,,,,Bot
137,Angus Galloway,,18,18,,,,,,,,,,,,Bot
138,Clement Etienne,,18,18,,,,,,,,,,,,Bot
139,Horace Hogan,Optech,18,,18,,,,,,,,,,,Bot
140,Chen Leung,Optech,17,17,,,,,,,,,,,,Bot
141,Jamil Ansari,,17,,17,,,,,,,,,,,Bot
142,Ken Ueta,Windsail,17,17,,,,,,,,,,,,Bot
143,Roger Engen,Hinal,17,17,,,,,,,,,,,,Bot
144,Nick Armstrong,Aria Olefson,16,,16,,,,,,,,,,,Bot
145,Patrick Black,AI Thunder,16,7,9,,,,,,,,,,,Bot
146,Peter Vermeulen,Aspire,16,16,,,,,,,,,,,,Bot
147,Morten Dalgaard,Aguda,15,15,,,,,,,,,,,,Bot
148,Niilo Pulkkinen,True Form,15,15,,,,,,,,,,,,Bot
149,Tommy Parra,,15,15,,,,,,,,,,,,Bot
150,Aleksandar Brašanac,Krowen,14,14,,,,,,,,,,,,Bot
151,Alexander Alvarez,Roklit,14,,14,,,,,,,,,,,Bot
152,Elvis Hodge,Fable,14,14,,,,,,,,,,,,Bot
153,Matej Đurasović,,14,,14,,,,,,,,,,,Bot
154,Alberto Moses,,13,13,,,,,,,,,,,,Bot
155,Michel Huisman,,13,,13,,,,,,,,,,,Bot
156,Rajeev Al Romaihi,,13,13,,,,,,,,,,,,Bot
157,Andre Ilunga,,12,12,,,,,,,,,,,,Bot
158,Branko Ljubojević,,12,12,,,,,,,,,,,,Bot
159,Nicolas Jung,,12,12,,,,,,,,,,,,Bot
160,Pierre Mba,,11,11,,,,,,,,,,,,Bot
161,Takashi Kondō,,11,11,0,,,,,,,,,,,Bot
162,Bart Vermeulen,,10,10,,,,,,,,,,,,Bot
163,Jabari Meade,,10,10,,,,,,,,,,,,Bot
164,Willy Bertelsen,,10,,10,,,,,,,,,,,Bot
165,Jes Clemmensen,Meisterkuhl,9,0,9,,,,,,,,,,,Bot
166,Henry Walsh,,8,,8,,,,,,,,,,,Bot
167,Joshua Hendrickx,,8,8,0,,,,,,,,,,,Bot
168,Michael Kruse,,8,,8,,,,,,,,,,,Bot
169,Roberto Rivas,,8,8,,,,,,,,,,,,Bot
170,Vernon Peck,,8,8,,,,,,,,,,,,Bot
171,Bernardo Bell,Aspire,7,7,,,,,,,,,,,,Bot
172,Christian Weiß,Monova,7,7,,,,,,,,,,,,Bot
173,Jack Thomas,,7,,7,,,,,,,,,,,Bot
174,Dietmar Lindner,Formix,5,5,,,,,,,,,,,,Bot
175,Emiliano Ceccarelli,Zonkify,5,0,5,,,,,,,,,,,Bot
176,Charles Friesen,,4,,4,,,,,,,,,,,Bot
177,Mizuki Yamamoto,Dashix,3,,3,,,,,,,,,,,Bot
