#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
1,ML Martin,Monkey Cycling,430,45,52,5,40,16,29,53,52,52,51,35,,Male
2,Lazaro Delgado,,265,41,,31,53,47,45,,48,,,,,Bot
3,Jerald Barker,,247,,49,51,,48,,52,47,,,,,Bot
4,Jamie Bishop,Newhall.cc,228,49,38,42,48,22,29,,,,,,,Male
5,Ianto Bennett,,179,,40,,,39,48,52,,,,,,Bot
6,Fernando Lopez,,163,,,49,50,,,41,,,,23,,Bot
7,Fraser Kinnaird,,160,49,,19,16,0,,3,19,20,24,10,,Bot
8,Kenshin Hashimoto,Fable,158,,,52,,53,,,,,53,,,Bot
9,Dewayne Bass,Aspire,157,,54,,51,52,,,,,,,,Bot
10,Daishi Abe,,153,,47,,52,54,,,,,,,,Bot
11,Stan Bryan,Meisterkuhl,151,,,,,,,,,53,46,52,,Bot
12,António Guebuza,,150,,,,35,36,35,,,,,44,,Bot
13,Frits Kristensen,Heat,149,,,29,,35,,40,45,,,,,Bot
14,Yongsun Beom,Fiber Shot,149,,,,,40,,30,,39,40,,,Bot
15,Gloria Jordan,,148,,48,,,,40,20,,,,40,,Bot
16,Clint Gonzalez,Optech,146,43,40,27,36,,,,,,,,,Bot
17,Michael Wainiqolo,,141,,,,,,50,49,42,,,,,Bot
18,Jaap Van Dijk,Kumori,134,,,27,25,31,51,,,,,,,Bot
19,Jun’ichi Okada,,134,50,,,,43,41,,,,,,,Bot
20,Lindsey Pacheco,,134,,53,,,53,,,28,,,,,Bot
21,George Friesen,,133,,36,44,,,,,,,53,,,Bot
22,Asger Lindberg,,132,,,48,40,44,,,,,,,,Bot
23,Jack Mahy,Base,132,,,45,35,52,,,,,,,,Bot
24,Jose Pascual,,132,,,,,54,,25,,,53,,,Bot
25,Emil Rockov,,131,,,,37,,,50,,44,,,,Bot
26,Graham Erskine,Aguda,130,45,,,,,40,,,,45,,,Bot
27,Peter Austin,TROuble,127,39,34,24,30,,,,,,,,,Male
28,David Wallin,Titans,124,,,24,,16,,42,,42,,,,Bot
29,Keith Ballard,,123,,,48,,41,,,34,,,,,Bot
30,Monroe Pacheco,Patriot,120,,,25,,48,47,,,,,,,Bot
31,Hervé Dupont,Kumori,119,35,34,,50,,,,,,,,,Bot
32,Jasper De,,118,40,39,,39,,,,,,,,,Bot
33,Kurt Angus,Allkin Racing,118,34,0,31,53,,0,,,,,,,Male
34,Matthew Salazar,Titans,118,,22,20,43,,,,33,,,,,Bot
35,Momchil Mustafa,,118,30,,,46,42,,,,,,,,Bot
36,Sidney Frank,,117,,,49,,31,,,,,37,,,Bot
37,Guido Berti,,115,,36,,48,,,31,,,,,,Bot
38,Pylyp Polishchuk,,115,,,37,40,38,,,,,,,,Bot
39,Birgir Halldórsdóttir,,114,49,48,,,,,17,,,,,,Bot
40,Erin Valentine,,113,,,,23,,,,43,,47,,,Bot
41,Paul Rajan,,112,,43,,30,39,,,,,,,,Bot
42,Leroy Lightbourne,AMO Solutions,110,52,,44,,,,14,,,,,,Bot
43,Gael Cabral,,108,,44,,33,,,,,,31,,,Bot
44,Philipp Winkler,Systech,108,,,,,,,54,54,,,,,Bot
45,Leo Larsen,Saitama,107,,15,43,,,,,,,49,,,Bot
46,Hongxi Ma,,106,,,,54,28,,24,,,,,,Bot
47,Romain Duval,,105,21,50,,,,,,,,34,,,Bot
48,Serge Davidson,Nuvio,105,,38,,31,,,,,,,36,,Bot
49,Stig Wallin,Capital,105,,,,,,,,41,,24,40,,Bot
50,Dustin Andrews,Nuvio,104,23,45,,,36,,,,,,,,Bot
51,Eldon Trujillo,,104,47,,,,29,,,,,,28,,Bot
52,Hank Ross,,104,,,,,,53,,,51,,,,Bot
53,Adam Blais,,103,,17,22,,16,,,,,,48,,Bot
54,Kyle Baxter,Aguda,103,53,,,50,,,,,,,,,Bot
55,Willem De Brujin,Aria Olefson,103,,,,,,,,,54,49,,,Bot
56,Darrel Warren,,102,54,,48,,,,,,,,,,Bot
57,Chunghee Cha,,101,,49,,,,,,52,,,,,Bot
58,Oliver Lloyd,,101,,,49,,,,,,,,52,,Bot
59,Alex Dorsey,,100,,,,,,,49,,,,51,,Bot
60,Alonzo Fontana,Windsail,100,,,,25,,,,47,,,28,,Bot
