#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
1,Priit Alumaa,Fingolia Continental,346,51,37,10,33,,17,53,34,38,42,41,,Male
2,✓︎ Eugeni Streshnev,Allkin CC,179,53,53,45,28,,,,,,,,,Male
3,Jorge Morales,AI Thunder,156,,,,53,,53,50,,,,,,Bot
4,Fanqia Ma,,134,,41,,,,50,,,43,,,,Bot
5,Viljami Heikkilä,Sherpa,134,,31,,,,,,,53,,50,,Bot
6,Mousa Salem,,129,25,,,,,,,53,,,51,,Bot
7,Francisco Díaz,Patriot,123,,21,,49,,,,,,53,,,Bot
8,Irvin Austin,,123,,45,,,,50,,28,,,,,Bot
9,Konstantinos Pappas,,123,21,,,48,,,54,,,,,,Bot
10,Paul Mamea,,120,,,,42,,,39,,,,39,,Bot
11,Harold Schroeder,,119,,25,47,,,47,,,,,,,Bot
12,Darryl Powell,,115,28,,,48,,,,39,,,,,Bot
13,Tony Coyley,Men With Ven,114,2,0,5,35,6,22,44,0,,,,,Male
14,Brad Mercier,,105,,,,38,,,,30,37,,,,Bot
15,Tiernan Kennedy,Zonkify,104,,7,46,,,,51,,,,,,Bot
16,Alan Cruz,Roklit,103,,,,,,,,53,,,50,,Bot
17,Grigorios Konstantinidis,Ampex,103,,,,,50,,,,,,53,,Bot
18,Niklas Pohl,Aguda,103,,,,53,,,,50,,,,,Bot
19,Roger Johansen,,102,,,,49,,53,,,,,,,Bot
20,Frank Laursen,,100,,,,52,,48,,,,,,,Bot
21,Jan Medina,AI Thunder,99,,45,,,,54,,,,,,,Bot
22,Dirk Krüger,Ampex,96,,,,,,51,,,45,,,,Bot
23,Kate Collins,,96,,53,43,,,,,,,,,,Bot
24,Scotty Allison,,96,46,,,50,,,,,,,,,Bot
25,Enle Soo,,95,,,49,,,,,,46,,,,Bot
26,Giotto Rossi,Windsail,95,,,,,,,,43,,52,,,Bot
27,Adrian Becker,Fiber Shot,94,,45,,,,49,,,,,,,Bot
28,Ahmad Villa,,94,,,,,30,22,,42,,,,,Bot
29,Raymundo Page,Aria Olefson,94,,44,,,,,,,,50,,,Bot
30,Tanja Slavkov,Optech,94,,,,49,,,,45,,,,,Bot
31,Noah De,Formix,93,,,,44,,,,,,,49,,Bot
32,Viktor Magnusson,,93,,47,,,,,,,46,,,,Bot
33,Carson Cordova,,92,38,,54,,,,,,,,,,Bot
34,Lucas Hermans,Douvan,92,,,52,,,,,40,,,,,Bot
35,Norman Kaiser,,92,,,,,52,,40,,,,,,Bot
36,Mohamed Martin,,90,,,,39,,,,,51,,,,Bot
37,Wouter Van Dijk,,90,,38,,,,52,,,,,,,Bot
38,Aapo Pulkkinen,,89,35,,,,,,,54,,,,,Bot
39,Yves Hughes,HCOM,89,,,,44,,45,,,,,,,Bot
40,Yiyun Tai,,88,36,,,,,,,52,,,,,Bot
41,Art Velez,Hinal,86,,,,29,,,,27,30,,,,Bot
42,Bol Garang,,86,,39,,,,,47,,,,,,Bot
43,Carmen Jansen,Hinal,86,,,,,,,,46,40,,,,Bot
44,Georg Magnusson,Eckleson,85,32,,,,,53,,,,,,,Bot
45,Gerard Kaneza,,85,,34,,,51,,,,,,,,Bot
46,Heiko Schmid,Windsail,84,38,,,,,,46,,,,,,Bot
47,Eunji Tan,,83,40,43,,,,,,,,,,,Bot
48,Arnold McKinney,Heat,82,30,,52,,,,,,,,,,Bot
49,Humphrey Howard,,82,,28,,,,,,,,54,,,Bot
50,Odhran Daly,,81,,,,,,17,18,,,46,,,Bot
51,Petar Šimunović,,81,,7,,,,,,33,,41,,,Bot
52,Ingeborg Abrahamsson,Capital,80,,,30,,,,,,50,,,,Bot
53,Jose Vega,,80,,,,,42,38,,,,,,,Bot
54,Víctor Dinis,Titans,80,,,,,,,,17,19,,44,,Bot
55,Andre Blake,,79,,,,,,23,23,,,,33,,Bot
56,Dennis Lambert,,79,,33,,46,,,,,,,,,Bot
57,Jochen Koch,Eckleson,79,29,,,,,,,50,,,,,Bot
58,Julius Huber,HCOM,79,,,,,,,47,32,,,,,Bot
59,Donald Munro,indieVelo Founders Club,77,37,30,,,2,8,,,,,,,Male
60,Marta Mason,,77,,48,,,29,,,,,,,,Bot
61,Eileen Marks,,76,,,,,,,,,35,,41,,Bot
62,Joyce De Graaf,,75,,43,,32,,,,,,,,,Bot
63,Krisztián Máté,Krowen,75,,45,,,,,,,,,30,,Bot
64,Xiaoxin Chin,,75,,,,,,38,37,,,,,,Bot
65,Leo Watkins,,74,26,,,,,,48,,,,,,Bot
66,Valeriya Mezulić,Orbit,74,,,,37,,,,,37,,,,Bot
67,Manon Wagner,,73,,,39,34,,,,,,,,,Bot
68,Paul Beck,,73,54,,,,,,19,,,,,,Bot
69,Therese Simpson,,72,,,,35,,,,,,,37,,Bot
70,Yujun So,,72,,,,,,,,29,43,,,,Bot
71,Conrad Snow,,70,,,,28,,42,,,,,,,Bot
72,David Mendoza,,70,,20,,50,,,,,,,,,Bot
73,Dana Förster,Pioma,69,21,,,,,,48,,,,,,Bot
74,Dana Förster,Nitro,69,21,,,,,,48,,,,,,Bot
75,Michael Meijer,,69,,,,,,,,18,,,51,,Bot
76,Linus Kühn,,68,,,,,,,,25,,,43,,Bot
77,Rena Parrish,,68,,24,,,,,,,44,,,,Bot
78,Ernesto Logan,Nitro,67,,,39,,,,,28,,,,,Bot
79,Greta Lang,,67,,,,41,,26,,,,,,,Bot
80,Masao Hayashi,Orbit,67,,,37,,,30,,,,,,,Bot
81,Evan Donnelly,,66,,,,30,,,36,,,,,,Bot
82,Jos Van Vliet,Aguda,65,,,,29,,,,,36,,,,Bot
83,Uuno Mikkonen,,65,,,28,37,,,,,,,,,Bot
84,Juan Segura,Hector,63,,16,,47,,,,,,,,,Bot
85,Xinbei Liau,Titans,63,,,23,,,,,,,,40,,Bot
86,Yamikani Tembo,,63,,30,,33,,,,,,,,,Bot
87,Amanda Szulc,,62,,,,35,,,,,,27,,,Bot
88,Ben Lehmann,,62,,,,34,,28,,,,,,,Bot
89,Filip Hanák,Pioma,62,23,,,,,,,,39,,,,Bot
90,Filip Hanák,Nitro,62,23,,,,,,,,39,,,,Bot
91,Vicente Prados,Meisterkuhl,62,15,,,,,,,,,47,,,Bot
92,Essie Barker,AMO Solutions,60,,31,,,,,,,,,29,,Bot
93,Essie Barker,Pioma,60,,31,,,,,,,,,29,,Bot
94,Brian Waters,,59,24,,,,,,,35,,,,,Bot
95,Geoffrey Wallace,True Form,59,13,,,,,,,46,,,,,Bot
96,Luka Koskinen,Monova,59,,,,,,30,,,,,29,,Bot
97,Freeman Miranda,Fable,58,,,22,,,,,,,,36,,Bot
98,Lilian Barahona,,58,,47,,,,,11,,,,,,Bot
99,Diana Formenta,,57,,,,,34,,23,,,,,,Bot
100,Peter Galloway,YES,57,,11,,,,,46,,,,,,Bot
101,Derek Labelle,Fable,55,,,,,31,,,,,,24,,Bot
102,Alfredo Herrero,,54,,,,54,,,,,,,,,Bot
103,Changxiao Yen,eVOX,54,,,,,25,29,,,,,,,Bot
104,Haneul Eom,YES,54,,,,,,54,,,,,,,Bot
