#,Name,Team,Total,Crit Series 1,Fall Classics,INDI 500,"Race 
Days",ARR
1,Alexandre Peigne,Race3R,349.2,139.8,186.6,22.7,12,1791
2,Frederik Foulon,Race3R,240.1,121.9,96.7,21.5,10,1398
3,Matthew James,M4shup Collective/Mashup Collective,219.2,45.5,150.3,23.4,7,1761
4,Ryan Yates,Allkin Racing,206.5,68.7,137.8,0.0,7,1709
5,J D O,DIRT,172.0,0.0,148.3,23.7,5,1891
6,Uli T,Race3R,155.6,0.0,155.6,0.0,5,1398
7,Per Olav Meder Kalvaa,Allkin Racing,149.0,62.2,86.8,0.0,6,1507
8,Doug Hart,Pedalers/Ilkley CC,148.4,0.0,148.4,0.0,4,1781
9,Gregory Frison,Mashup Collective/M4shup Collective,147.2,70.9,76.3,0.0,5,1935
10,Ingmar van Bers  ЯƦ,Rasio Racing,145.8,0.0,145.8,0.0,4,1734
11,Kurt Angus,Allkin Racing,144.5,127.2,0.0,17.2,7,1467
12,christophe contant,Pedalers,137.4,0.0,113.6,23.8,4,1898
13,Matthieu Hubert,Race3R,126.5,0.0,104.6,21.9,4,1572
14,Rob Miller,Race3R,124.0,88.4,35.6,0.0,5,1823
15,Even Øistensen,Race3R,108.9,0.0,108.9,0.0,3,1673
16,Priit Alumaa,Fingolia Continental,106.4,88.5,0.0,17.9,6,962
17,Mikael Engmark,FilsøAktivNatur-BikePro,101.8,0.0,101.8,0.0,4,300
18,Soeren Lindner,BHC/RS Skater,97.8,23.4,74.4,0.0,3,1834
19,Andrew Walker,Wadenterror,89.8,0.0,89.8,0.0,3,1337
20,Eugeni Streshnev,Allkin CC/,89.5,17.7,53.8,18.0,4,200
21,Dan Stimson,Race3R,84.9,84.9,0.0,0.0,4,1595
22,Matthew Forshaw,Mashup Collective,76.0,0.0,76.0,0.0,2,1881
23,Ludvig Karlberg,Mashup Collective,74.4,0.0,74.4,0.0,2,1908
24,Ben Russell,Mashup Collective,73.9,0.0,73.9,0.0,2,1863
25,Daniel Schoch,Moon Riders,73.1,0.0,73.1,0.0,2,1752
26,Dirk Segers,Moon Riders,72.3,0.0,72.3,0.0,2,1594
27,Brenon Daly,,69.9,0.0,69.9,0.0,2,100
28,Zeb Norman,Mashup Collective,67.1,0.0,67.1,0.0,2,1703
29,Juho Väisänen,Coalition,62.8,0.0,62.8,0.0,3,1446
30,Anthony dubre,Pedalers,59.7,22.6,37.1,0.0,2,1731
31,John Sammut,Pocomotion,59.7,23.3,36.4,0.0,2,1786
