EventKey,Pen,Place,Name,Team,Country,Time,DeltaTime,Distance,Time Normal,Base,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,Pen Group,Week,Type,Points,Elevation,Pen Size,Pen Group,Total Rating,Pen Rating,Pen Range,Race Type
100215,0,1,Guadalupe Robles,,gbr,5865.6,0.0,70499.843,,0,Bot,Bot9983,1585,Platinum 3,1585,Platinum 3,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,403,807,40,Platinum,59740,1494,0.05,Climb
100215,0,2,Lasse Ikonen,Sherpa,fin,5865.9,317.0,70499.843,,0,Bot,Bot8120,1564,Platinum 3,1564,Platinum 3,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,397,807,40,Platinum,59740,1494,0.05,Climb
100215,0,3,Mansour Salem,,uae,5878.0,12424.0,70499.843,,0,Bot,Bot7051,1488,Platinum 2,1488,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,392,807,40,Platinum,59740,1494,0.05,Climb
100215,0,4,Theodore Burton,,sgp,5878.5,12889.0,70499.843,,0,Bot,Bot1290,1475,Platinum 2,1475,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,387,807,40,Platinum,59740,1494,0.05,Climb
100215,0,5,Marcel Bourgeois,,fra,5889.8,24248.0,70499.843,,0,Bot,Bot9059,1499,Platinum 2,1499,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,381,807,40,Platinum,59740,1494,0.05,Climb
100215,0,6,Carlos Carmona,,esp,5890.0,24442.0,70499.843,,0,Bot,Bot958,1430,Platinum 2,1430,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,376,807,40,Platinum,59740,1494,0.05,Climb
100215,0,7,Francisco Matsinhe,,moz,5898.0,32448.0,70499.843,,0,Bot,Bot3390,1475,Platinum 2,1475,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,370,807,40,Platinum,59740,1494,0.05,Climb
100215,0,8,Ian Ortiz,AMO Solutions,arg,5899.3,33698.0,70499.843,,0,Bot,Bot2339,1427,Platinum 2,1427,Platinum 2,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,365,807,40,Platinum,59740,1494,0.05,Climb
100215,0,9,Filip Černý,,svk,5899.8,34198.0,70499.843,,0,Bot,Bot1553,1566,Platinum 3,1566,Platinum 3,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,360,807,40,Platinum,59740,1494,0.05,Climb
100215,0,10,Michael Franke,,aut,5900.0,34393.0,70499.843,,0,Bot,Bot8655,1545,Platinum 3,1545,Platinum 3,,Platinum 3,Week 01 | Great Ocean Road Race,Spring Classics 2026,354,807,40,Platinum,59740,1494,0.05,Climb
