#,Name,Team,Total,Crit,Classics,INDI 500,Races,ARR
1,Alexandre Peigne,Race3R,407,140,223,45,14,1795
2,Frederik Foulon,Race3R,258,122,115,21,11,1407
3,Ryan Yates,Allkin Racing,232,69,163,0,8,1705
4,Matthew James,M4shup Collective,219,46,150,23,7,1761
5,J D O,DIRT,208,0,185,24,6,1892
6,christophe contant,Pedalers,198,0,150,47,6,1900
7,Gregory Frison,M4shup Collective,185,71,114,0,6,1936
8,Uli T,Race3R,183,0,183,0,6,1415
9,Matthieu Hubert,Race3R,181,0,138,44,6,1584
10,Per Olav Meder Kalvaa,Allkin Racing,149,62,87,0,6,1507
11,Doug Hart,Pedalers,148,0,148,0,4,1781
12,Ingmar van Bers  ЯƦ,Rasio Racing,146,0,146,0,4,1734
13,Kurt Angus,Allkin Racing,144,127,0,17,7,1467
14,Even Øistensen,Race3R,142,0,142,0,4,1678
15,✓︎ Eugeni Streshnev,Allkin CC,137,18,83,36,6,200
16,Rob Miller,Race3R,124,88,36,0,5,1823
17,Priit Alumaa,Fingolia Continental,121,88,0,32,7,969
18,Ben Russell,M4shup Collective,111,0,111,0,3,1864
19,Mikael Engmark,FilsøAktivNatur-BikePro,102,0,102,0,4,300
20,Daniel Schoch,Moon Riders,102,0,102,0,3,1746
21,Soeren Lindner,BHC,98,23,74,0,3,1834
22,Jamie Bishop,Newhall.cc,97,0,58,39,4,1512
23,Andrew Walker,Wadenterror,90,0,90,0,3,1337
24,Dan Stimson,Race3R,85,85,0,0,4,1595
25,Anthony dubre,Pedalers,83,23,37,24,3,1724
26,Jan Vana,Race3R,83,23,37,23,3,1837
27,Matthew Forshaw,M4shup Collective,76,0,76,0,2,1881
28,Ludvig Karlberg,M4shup Collective,74,0,74,0,2,1908
29,Dirk Segers,Moon Riders,72,0,72,0,2,1594
30,Brenon Daly,,70,0,70,0,2,100
31,Zeb Norman,M4shup Collective,67,0,67,0,2,1703
32,Juho Väisänen,Coalition,63,0,63,0,3,1446
33,John Sammut,Pocomotion,60,23,36,0,2,1786
34,Donald Munro,indieVelo Founders Club,57,0,30,27,4,886
35,Jan van der Linden,Pocomotion,56,22,34,0,2,1718
36,Mark Siega,Race3R,53,0,35,19,2,1451
37,Jay  Santi,Pedalers,53,0,43,10,3,200
38,Lem Curran,Team Lou,51,0,51,0,2,1176
39,Jurgen N_,Flandria,48,0,48,0,3,910
40,Christian Nistri,Allkin CC,48,0,29,19,3,300
41,Thomas Helveg,Pure Power,46,0,46,0,2,1214
42,Tom Ghan,Allkin Racing,45,0,45,0,2,1009
43,Ryan Giunchi,Riders Givrés du Trainer,41,41,0,0,2,1462
44,ML Martin,Monkey Cycling,41,0,0,41,2,1435
45,Rhys britton,,39,0,39,0,1,100
46,Mathias Bach,eCKD Eagles,38,0,38,0,1,1746
47,Jonas Knudsen-BikePro.dk-,FilsøAktivNatur-BikePro,38,0,38,0,1,1640
48,Joonas Meri,,38,0,38,0,1,100
49,Henrik Andersson,,37,0,37,0,1,100
50,Jake Saunders,Ride 4 Claire,37,0,37,0,1,1845
51,Jeppe Tolbøll,Cycling Universe Race Team,37,0,37,0,1,1712
52,Jørgen van Bers,Rasio Racing,36,0,36,0,1,1637
53,Ewan Farrow,Ilkley CC,36,0,36,0,1,1590
54,Peter Austin,TROuble,36,0,0,36,2,1471
55,Andy Hall,Ilkley CC,34,0,34,0,1,1528
56,Mic Bart,Pedalers,34,19,16,0,2,1275
57,Mark Turnbull,,34,0,34,0,1,100
58,Bernd Wegscheider,Tuttlinger Sportfreunde,34,0,34,0,1,100
59,Peter Rossi,,34,0,34,0,1,1623
60,Neil Walker,Wadenterror,34,20,0,13,2,1335
61,Josh Mahlandt,,33,0,33,0,1,100
62,Luciano VLOdrome,Tarados Cycling Squad,33,0,33,0,1,1609
63,Adam Chamberlin,,31,0,31,0,1,100
64,jean pierre fournier,Riders Givrés du Trainer,31,0,31,0,1,1140
65,marc brazeau73,,31,0,31,0,1,1292
66,Pawel Lejk,,31,0,31,0,1,100
67,Wulf Riedel,,30,0,30,0,1,200
68,Jouff Qunqun,Riders Givrés du Trainer,29,10,20,0,2,1425
69,i p richardson,,29,0,29,0,1,300
70,Dan Kobberup,eCKD Eagles,28,0,28,0,1,1258
71,Joel Vigneau,Riders Givrés du Trainer,26,0,26,0,1,1636
72,alexandre ferreira,,23,0,23,0,1,100
73,Rasmus Feldballe,Draft,23,23,0,0,1,1692
74,Alex Pleger - яʀ,Rasio Racing,23,23,0,0,1,1627
75,Marty Algire,,21,0,0,21,1,1468
76,Stepan  Lee,eCKD Eagles,21,0,21,0,1,814
77,Roger Hughes,TROuble,20,0,0,20,1,1599
78,Christophe Hermant,Riders Givrés du Trainer,20,20,0,0,1,1226
79,Jacob Eriksen,Draft,20,20,0,0,1,1113
80,Maciej Zywek,Tripower,20,20,0,0,1,100
81,Peter Davidsen,,20,20,0,0,1,300
82,Casey Schumm,DIRT,19,0,0,19,1,1552
83,Daniel Neugebauer,Pedalers,19,19,0,0,1,1502
84,Kevin Barclay,OTR eRacing,19,19,0,0,1,1562
85,Matt Keiper,indieVelo Founders Club,16,16,0,0,1,1061
86,Sam Beeson,Allkin Racing,15,0,15,0,1,200
87,Klas Svensson,,9,0,9,0,1,100
88,Tim Simpkins,Newhall.cc,8,0,0,8,1,1161
89,Tony Coyley,Men With Ven,8,0,0,8,1,1044
90,david durok,,7,0,0,7,1,871
91,Jose Miguel Carvajal,,6,6,0,0,1,100
